chapter_id,title,char_count,file_path
34,第三十四回　 情中情因情感妹妹　错里错以错劝哥哥,7706,raw/chapters/034.txt
35,第三十五回　白玉钏亲尝莲叶羹　黄金莺巧结梅花络,8260,raw/chapters/035.txt
36,第三十六回　 绣鸳鸯梦兆绛芸轩　识分定情悟梨香院,7089,raw/chapters/036.txt
37,第三十七回　秋爽斋偶结海棠社　蘅芜苑夜拟菊花题,9632,raw/chapters/037.txt
38,第三十八回　 林潇湘魁夺菊花诗　薛蘅芜讽和螃蟹咏,5990,raw/chapters/038.txt
39,第三十九回　　村姥姥是信口开合　情哥哥偏寻根究底,6630,raw/chapters/039.txt
40,第四十回　　史太君两宴大观园　金鸳鸯三宣牙牌令,9920,raw/chapters/040.txt
41,第四十一回　　栊翠庵茶品梅花雪　怡红院劫遇母蝗虫,6875,raw/chapters/041.txt
42,第四十二回　　蘅芜君兰言解疑癖　潇湘子雅谑补余香,7986,raw/chapters/042.txt
43,第四十三回　　闲取乐偶攒金庆寿　不了情暂撮土为香,7093,raw/chapters/043.txt
44,第四十四回　变生不测凤姐泼醋　喜出望外平儿理妆,7086,raw/chapters/044.txt
45,第四十五回　 金兰契互剖金兰语　风雨夕闷制风雨词,8193,raw/chapters/045.txt
46,第四十六回　 尴尬人难免尴尬事　鸳鸯女誓绝鸳鸯偶,8603,raw/chapters/046.txt
47,第四十七回　呆霸王调情遭苦打　冷郎君惧祸走他乡,7589,raw/chapters/047.txt
48,第四十八回　　滥情人情误思游艺　慕雅女雅集苦吟诗,6978,raw/chapters/048.txt
49,第四十九回　 琉璃世界白雪红梅　脂粉香娃割腥啖膻,7674,raw/chapters/049.txt
50,第五十回　 芦雪庵争联即景诗　暖香坞雅制春灯谜,7313,raw/chapters/050.txt
51,第五十一回　 薛小妹新编怀古诗　胡庸医乱用虎狼药,7286,raw/chapters/051.txt
52,第五十二回　 俏平儿情掩虾须镯　勇晴雯病补雀金裘,8654,raw/chapters/052.txt
53,第五十三回　　宁国府除夕祭宗祠　荣国府元宵开夜宴,8476,raw/chapters/053.txt
54,第五十四回　 史太君破陈腐旧套　王熙凤效戏彩斑衣,9153,raw/chapters/054.txt
55,第五十五回　　辱亲女愚妾争闲气　欺幼主刁奴蓄险心,8450,raw/chapters/055.txt
56,第五十六回　 敏探春兴利除宿弊　时宝钗小惠全大体,9111,raw/chapters/056.txt
57,第五十七回　 慧紫鹃情辞试忙玉　慈姨妈爱语慰痴颦,11710,raw/chapters/057.txt
58,第五十八回　 杏子阴假凤泣虚凰　茜纱窗真情揆痴理,7336,raw/chapters/058.txt
59,第五十九回　　柳叶渚边嗔莺咤燕　绛云轩里召将飞符,5284,raw/chapters/059.txt
60,第六十回　茉莉粉替去蔷薇硝　玫瑰露引来茯苓霜,7826,raw/chapters/060.txt
61,第六十一回　 投鼠忌器宝玉瞒赃　判冤决狱平儿行权,6937,raw/chapters/061.txt
62,第六十二回　　憨湘云醉眠芍药茵届@呆香菱情解石榴裙,12304,raw/chapters/062.txt
63,第六十三回　　寿怡红群芳开夜宴　死金丹独艳理亲丧,11611,raw/chapters/063.txt
64,第六十四回　　幽淑女悲题五美吟　浪荡子情遗九龙佩,10046,raw/chapters/064.txt
65,第六十五回　　贾二舍偷娶尤二姨　尤三姐思嫁柳二郎,7208,raw/chapters/065.txt
66,第六十六回　　情小妹耻情归地府　冷二郎一冷入空门,5324,raw/chapters/066.txt
67,第六十七回　　见土仪颦卿思故里　闻秘事凤姐讯家童,9689,raw/chapters/067.txt
68,第六十八回　　苦尤娘赚入大观园　酸凤姐大闹宁国府,7800,raw/chapters/068.txt
69,第六十九回　　 弄小巧用借剑杀人　觉大限吞生金自逝,7569,raw/chapters/069.txt
70,第七十回　　林黛玉重建桃花社　史湘云偶填柳絮词,6250,raw/chapters/070.txt
71,第七十一回　 嫌隙人有心生嫌隙　鸳鸯女无意遇鸳鸯,9316,raw/chapters/071.txt
72,第七十二回　　王熙凤恃强羞说病　来旺妇倚势霸成亲,7725,raw/chapters/072.txt
73,第七十三回　　痴丫头误拾绣春囊　懦小姐不问累金凤,7750,raw/chapters/073.txt
74,第七十四回　　 惑奸谗抄检大观园　矢孤介杜绝宁国府,11496,raw/chapters/074.txt
75,第七十五回　开夜宴异兆发悲音　赏中秋新词得佳谶,9887,raw/chapters/075.txt
76,第七十六回　　凸碧堂品笛感凄清　凹晶馆联诗悲寂寞,7884,raw/chapters/076.txt
77,第七十七回　　俏丫鬟抱屈夭风流　美优伶斩情归水月,10998,raw/chapters/077.txt
78,第七十八回　 老学士闲征诡画词　痴公子杜撰芙蓉诔,11328,raw/chapters/078.txt
79,第七十九回　 薛文龙悔娶河东狮　贾迎春误嫁中山狼,4984,raw/chapters/079.txt
80,第八十回　　美香菱屈受贪夫棒　王道士胡诌妒妇方,7065,raw/chapters/080.txt
